framework,item_id,score,confidence,evidence_file,notes,source_run
ollama,D2.3,N_A,HIGH,runs_v9/ollama/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
ollama,D3.3,INSECURE,HIGH,runs_v9/ollama/probes/D3.3.txt,"POST /api/push reachable UNAUTH (200); executed push workflow (retrieving manifest), failed only on the missing test model — a real local model is pushable unauth (2026-06-02)",runs_v9
ollama,D7.2,INSECURE,HIGH,runs_v7/ollama/probes/D1.1.txt,"gap score = 9: 9 D1-D6 items INSECURE by default despite a secure option (D1.1, D1.2, D2.1, D3.1, D3.2, D3.3, D4.2, D5.3, D6.1) [recomputed in v9 follow-up after Group-1 D3.3/D3.4 resolutions; was 8]",runs_v9
vllm,D2.3,N_A,HIGH,runs_v9/vllm/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
vllm,D3.3,N_A,HIGH,runs_v9/vllm/probes/routes.txt,no push/export endpoint in the live OpenAPI route list (2026-06-02),runs_v9
vllm,D3.4,N_A,HIGH,runs_v9/vllm/probes/routes.txt,"no model delete/unload in the live OpenAPI route list (model immutable at runtime; /scale_elastic_ep is EP-scaling infra, not model-mutate) (2026-06-02)",runs_v9
llamacpp,D2.3,N_A,HIGH,runs_v9/llamacpp/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
llamacpp,D3.3,N_A,HIGH,runs_v9/llamacpp/probes/routes.txt,no push/export endpoint in the documented API / server route set (no live OpenAPI dump for this server; documented-API basis) (2026-06-02),runs_v9
llamacpp,D3.4,N_A,HIGH,runs_v9/llamacpp/probes/D3.4.txt,no model-delete; /slots erase/mutate DISABLED by default (501 'does not support slots action' without --slot-save-path); /slots is read-only list (2026-06-02),runs_v9
localai,D2.3,N_A,HIGH,runs_v9/localai/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
localai,D3.3,N_A,HIGH,runs_v9/localai/probes/routes.txt,no push/export endpoint in the documented API / server route set (no live OpenAPI dump for this server; documented-API basis) (2026-06-02),runs_v9
localai,D3.4,INSECURE,HIGH,runs_v9/localai/probes/D3.4.txt,"POST /models/delete/{name} reachable UNAUTH (200), accepted as a job (returned job UUID) — no auth gate (2026-06-02)",runs_v9
localai,D7.2,INSECURE,HIGH,runs_v7/localai/probes/D1.1.txt,"gap score = 9: 9 D1-D6 items INSECURE by default despite a secure option (D1.1, D2.1, D3.1, D3.2, D3.4, D4.1, D4.2, D5.3, D6.2) [recomputed in v9 follow-up after Group-1 D3.3/D3.4 resolutions; was 8]",runs_v9
tgwui,D2.3,N_A,HIGH,runs_v9/tgwui/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
tgwui,D3.3,N_A,HIGH,runs_v9/tgwui/probes/routes.txt,no push/export endpoint in the live OpenAPI route list (2026-06-02),runs_v9
tgwui,D3.4,INSECURE,HIGH,runs_v9/tgwui/probes/D3.4.txt,POST /v1/internal/model/unload reachable UNAUTH (200 'OK') — unauthenticated model-unload/mutate (2026-06-02),runs_v9
tgwui,D7.2,INSECURE,HIGH,runs_v7/tgwui/probes/D1.1.txt,"gap score = 7: 7 D1-D6 items INSECURE by default despite a secure option (D1.1, D1.2, D3.1, D3.2, D3.4, D4.2, D5.3) [recomputed in v9 follow-up after Group-1 D3.3/D3.4 resolutions; was 6]",runs_v9
sglang,D2.3,WARNS,LOW,runs_v9/sglang/probes/D3.4.txt,OBSERVED per-endpoint auth difference: /hicache/storage-backend refuses without --admin-api-key (400) while /flush_cache + inference + update_weights are open (200 unauth) — a per-endpoint authz tier EXISTS but is incomplete (sensitive mutates ungated) and admin-key is off by default [judgment call — flag] (2026-06-02),runs_v9
sglang,D3.3,N_A,HIGH,runs_v9/sglang/probes/routes.txt,no push/export endpoint in the live OpenAPI route list (2026-06-02),runs_v9
sglang,D3.4,INSECURE,HIGH,runs_v9/sglang/probes/D3.4.txt,"POST /flush_cache reachable UNAUTH (200 'Cache flushed') — unauthenticated admin mutate (update_weights_from_*, load_lora, release_memory similarly unauth) (2026-06-02)",runs_v9
sglang,D7.2,INSECURE,HIGH,runs_v7/sglang/probes/D1.1.txt,"gap score = 9: 9 D1-D6 items INSECURE by default despite a secure option (D1.1, D1.2, D2.1, D3.1, D3.2, D3.4, D4.1, D4.2, D5.3) [recomputed in v9 follow-up after Group-1 D3.3/D3.4 resolutions; was 8]",runs_v9
tgi,D2.3,N_A,HIGH,runs_v9/tgi/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
tgi,D3.3,N_A,HIGH,runs_v9/tgi/probes/routes.txt,no push/export endpoint in the documented API / server route set (no live OpenAPI dump for this server; documented-API basis) (2026-06-02),runs_v9
tgi,D3.4,N_A,HIGH,runs_v9/tgi/probes/routes.txt,"no delete/mutate endpoint in the documented API (model fixed via --model-id; routes: /generate, /v1/*, /info, /health, /metrics) (2026-06-02)",runs_v9
