framework,item_id,score,confidence,evidence_file,notes,source_run
ollama,D1.1,INSECURE,HIGH,runs_v7/ollama/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
ollama,D1.2,INSECURE,HIGH,findings_v8/ollama/doc_evidence.md,instructs OLLAMA_HOST=0.0.0.0 to expose with no exposure-risk warning | src: docs.ollama.com/faq (2026-06-02),runs_v8
ollama,D2.1,INSECURE,HIGH,runs_v2/ollama/probes/D2.1.txt,200 OK without auth header,runs_v2
ollama,D2.2,WARNS,HIGH,findings_v8/ollama/doc_evidence.md,NO native auth; FAQ points only to reverse proxy (Nginx)/tunnels | src: docs.ollama.com/faq (2026-06-02),runs_v8
ollama,D2.3,N_A,HIGH,runs_v9/ollama/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
ollama,D3.1,INSECURE,HIGH,runs_v2/ollama/probes/D3.1.txt,200 OK without auth header,runs_v2
ollama,D3.2,INSECURE,HIGH,runs_v2/ollama/probes/D3.2.txt,200 OK without auth header,runs_v2
ollama,D3.3,INSECURE,HIGH,runs_v9/ollama/probes/D3.3.txt,"POST /api/push reachable UNAUTH (200); executed push workflow (retrieving manifest), failed only on the missing test model — a real local model is pushable unauth (2026-06-02)",runs_v9
ollama,D3.4,N_A,HIGH,runs_v2/ollama/probes/D3.4.txt,404 - endpoint absent in this framework,runs_v2
ollama,D4.1,UNK,LOW,runs_v2/ollama/probes/D4.1.txt,curl exit 28 (request timed out — possible cold model load; cross-check D4.1),runs_v2
ollama,D4.2,INSECURE,HIGH,runs_v2/ollama/probes/D4.2.txt,0/100 throttled; 100 successful 2xx served unthrottled,runs_v2
ollama,D5.1,SECURE,LOW,runs_v7/ollama/probes/D5.1.txt,user 'template' param is Go text/template — sandboxed (no code/file/net exec); benign probe ({{print 7777777}}) showed NO server-side code execution,runs_v7
ollama,D5.2,N_A,HIGH,runs_v6/ollama/probes/D5.2.txt,no unauthenticated file-path/read endpoint exposed by default,runs_v6
ollama,D5.3,INSECURE,HIGH,runs_v2/ollama/probes/D5.3.txt,container runs as root / unset User,runs_v2
ollama,D6.1,INSECURE,HIGH,runs_v6/ollama/probes/D6.1.txt,phones home to ollama.com (version/update check) at startup by default; no model pull (weights pre-staged) — SNI-confirmed,runs_v6
ollama,D6.2,SECURE,HIGH,runs_v6/ollama/probes/D6.2.txt,seeding inference returned 2xx but sentinel absent from data dir,runs_v6
ollama,D7.1,INSECURE,HIGH,findings_v8/ollama/doc_evidence.md,"FAQ gives OLLAMA_HOST config with no security caveat, no auth mention | src: docs.ollama.com/faq (2026-06-02)",runs_v8
ollama,D7.2,INSECURE,HIGH,runs_v7/ollama/probes/D1.1.txt,"gap score = 9: 9 D1-D6 items INSECURE by default despite a secure option (D1.1, D1.2, D2.1, D3.1, D3.2, D3.3, D4.2, D5.3, D6.1) [recomputed in v9 follow-up after Group-1 D3.3/D3.4 resolutions; was 8]",runs_v9
vllm,D1.1,INSECURE,HIGH,runs_v7/vllm/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
vllm,D1.2,WARNS,HIGH,findings_v8/vllm/doc_evidence.md,Security page warns all-interface binding (TCPStore) is insecure by default + recommends firewall/isolated network | src: docs.vllm.ai/en/latest/usage/security.html (2026-06-02),runs_v8
vllm,D2.1,INSECURE,HIGH,runs_v4/vllm/probes/D2.1.txt,200 OK without auth header,runs_v4
vllm,D2.2,WARNS,HIGH,findings_v8/vllm/doc_evidence.md,"native --api-key / VLLM_API_KEY exists but OFF by default; docs caution it protects only /v1, other endpoints stay unauth | src: docs.vllm.ai/en/latest/usage/security.html (2026-06-02)",runs_v8
vllm,D2.3,N_A,HIGH,runs_v9/vllm/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
vllm,D3.1,INSECURE,HIGH,runs_v2/vllm/probes/D3.1.txt,200 OK without auth header,runs_v2
vllm,D3.2,N_A,HIGH,runs_v7/vllm/probes/D1.1.txt,no model pull/load endpoint by default (model fixed at launch),runs_v7
vllm,D3.3,N_A,HIGH,runs_v9/vllm/probes/routes.txt,no push/export endpoint in the live OpenAPI route list (2026-06-02),runs_v9
vllm,D3.4,N_A,HIGH,runs_v9/vllm/probes/routes.txt,"no model delete/unload in the live OpenAPI route list (model immutable at runtime; /scale_elastic_ep is EP-scaling infra, not model-mutate) (2026-06-02)",runs_v9
vllm,D4.1,INSECURE,HIGH,runs_v4/vllm/probes/D4.1.txt,200 OK without auth header,runs_v4
vllm,D4.2,INSECURE,HIGH,runs_v2/vllm/probes/D4.2.txt,0/100 throttled; 100 successful 2xx served unthrottled,runs_v2
vllm,D5.1,SECURE,LOW,runs_v7/vllm/probes/D5.1.txt,"request chat_template field not honored as a render surface (400, validation error); benign SSTI not evaluated",runs_v7
vllm,D5.2,N_A,HIGH,runs_v6/vllm/probes/D5.2.txt,no unauthenticated file-path/read endpoint exposed by default,runs_v6
vllm,D5.3,INSECURE,HIGH,runs_v2/vllm/probes/D5.3.txt,container runs as root / unset User,runs_v2
vllm,D6.1,INSECURE,HIGH,runs_v6/vllm/probes/D6.1.txt,sends usage stats to stats.vllm.ai by default (SNI-confirmed); also contacts huggingface.co for model metadata,runs_v6
vllm,D6.2,SECURE,HIGH,runs_v6/vllm/probes/D6.2.txt,seeding inference returned 2xx but sentinel absent from data dir,runs_v6
vllm,D7.1,WARNS,HIGH,findings_v8/vllm/doc_evidence.md,"dedicated Security page warns 'insecure by default' + isolated-network/firewall + --api-key caveat, but the serving quickstart itself does not warn (separate page) | src: docs.vllm.ai/en/latest/usage/security.html (2026-06-02)",runs_v8
vllm,D7.2,INSECURE,HIGH,runs_v7/vllm/probes/D1.1.txt,"gap score = 7: 7 D1-D6 items INSECURE by default despite a secure option (D1.1, D2.1, D3.1, D4.1, D4.2, D5.3, D6.1)",runs_v8
llamacpp,D1.1,INSECURE,HIGH,runs_v7/llamacpp/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
llamacpp,D1.2,WARNS,HIGH,findings_v8/llamacpp/doc_evidence.md,docs warn via SECURITY.md ('Untrusted environments or networks': do not expose llama-server to untrusted networks) — separate page off the quickstart | src: github.com/ggml-org/llama.cpp SECURITY.md (2026-06-02),runs_v8
llamacpp,D2.1,INSECURE,HIGH,runs_v5/llamacpp/probes/D2.1.txt,200 OK without auth header,runs_v5
llamacpp,D2.2,WARNS,HIGH,findings_v8/llamacpp/doc_evidence.md,native --api-key exists (default: none/off) | src: github.com/ggml-org/llama.cpp tools/server/README.md (2026-06-02),runs_v8
llamacpp,D2.3,N_A,HIGH,runs_v9/llamacpp/probes/routes.txt,"default has NO auth on any endpoint (inference + management all unauth 2xx; no api-key/admin-key set, cf D2.2) — no per-endpoint authz to evaluate (2026-06-02)",runs_v9
llamacpp,D3.1,INSECURE,HIGH,runs_v2/llamacpp/probes/D3.1.txt,200 OK without auth header,runs_v2
llamacpp,D3.2,N_A,HIGH,runs_v7/llamacpp/probes/D1.1.txt,no model pull/load endpoint by default,runs_v7
llamacpp,D3.3,N_A,HIGH,runs_v9/llamacpp/probes/routes.txt,no push/export endpoint in the documented API / server route set (no live OpenAPI dump for this server; documented-API basis) (2026-06-02),runs_v9
llamacpp,D3.4,N_A,HIGH,runs_v9/llamacpp/probes/D3.4.txt,no model-delete; /slots erase/mutate DISABLED by default (501 'does not support slots action' without --slot-save-path); /slots is read-only list (2026-06-02),runs_v9
llamacpp,D4.1,INSECURE,HIGH,runs_v5/llamacpp/probes/D4.1.txt,200 OK without auth header,runs_v5
llamacpp,D4.2,INSECURE,HIGH,runs_v2/llamacpp/probes/D4.2.txt,0/100 throttled; 100 successful 2xx served unthrottled,runs_v2
llamacpp,D5.1,SECURE,LOW,runs_v7/llamacpp/probes/D5.1.txt,request chat_template ignored/rejected (400); benign SSTI not evaluated server-side,runs_v7
llamacpp,D5.2,SECURE,HIGH,runs_v6/llamacpp/probes/D5.2.txt,traversal attempted on a file-path endpoint; no file content leaked (rejected/sanitized),runs_v6
llamacpp,D5.3,INSECURE,HIGH,runs_v2/llamacpp/probes/D5.3.txt,container runs as root / unset User,runs_v2
