framework,item_id,score,confidence,evidence_file,notes
llamacpp,D1.1,UNK,LOW,runs_v2/llamacpp/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
llamacpp,D1.2,UNK,LOW,runs_v2/llamacpp/probes/D1.2.txt,depends on docs language - human-judged at review
llamacpp,D2.1,UNK,LOW,runs_v2/llamacpp/probes/D2.1.txt,unexpected status 500
llamacpp,D2.2,UNK,LOW,runs_v2/llamacpp/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
llamacpp,D2.3,UNK,LOW,runs_v2/llamacpp/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
llamacpp,D3.1,INSECURE,HIGH,runs_v2/llamacpp/probes/D3.1.txt,200 OK without auth header
llamacpp,D3.2,UNK,LOW,runs_v2/llamacpp/probes/D3.2.txt,no HTTP status line in transcript
llamacpp,D3.3,UNK,LOW,runs_v2/llamacpp/probes/D3.3.txt,no HTTP status line in transcript
llamacpp,D3.4,UNK,LOW,runs_v2/llamacpp/probes/D3.4.txt,no HTTP status line in transcript
llamacpp,D4.1,UNK,LOW,runs_v2/llamacpp/probes/D4.1.txt,unexpected status 500
llamacpp,D4.2,INSECURE,HIGH,runs_v2/llamacpp/probes/D4.2.txt,0/100 throttled; 100 successful 2xx served unthrottled
llamacpp,D5.1,UNK,LOW,runs_v2/llamacpp/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
llamacpp,D5.2,UNK,LOW,runs_v2/llamacpp/probes/D5.2.txt,status 200 - inspect manually
llamacpp,D5.3,INSECURE,HIGH,runs_v2/llamacpp/probes/D5.3.txt,container runs as root / unset User
llamacpp,D6.1,UNK,LOW,runs_v2/llamacpp/probes/D6.1.txt,telemetry inspection requires tcpdump + manual analysis - human-judged
llamacpp,D6.2,UNK,LOW,runs_v2/llamacpp/probes/D6.2.txt,"sentinel NOT logged, but seeding inference did not return 2xx (curl exit 28) - logging surface never exercised, cannot assess"
llamacpp,D7.1,UNK,LOW,runs_v2/llamacpp/probes/D7.1.txt,subjective doc read - human-judged
llamacpp,D7.2,UNK,LOW,runs_v2/llamacpp/probes/D7.2.txt,derived from D1-D6 + docs after the fact - computed in matrix step
localai,D1.1,UNK,LOW,runs_v2/localai/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
localai,D1.2,UNK,LOW,runs_v2/localai/probes/D1.2.txt,depends on docs language - human-judged at review
localai,D2.1,UNK,LOW,runs_v2/localai/probes/D2.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D2.2,UNK,LOW,runs_v2/localai/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
localai,D2.3,UNK,LOW,runs_v2/localai/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
localai,D3.1,UNK,LOW,runs_v2/localai/probes/D3.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D3.2,UNK,LOW,runs_v2/localai/probes/D3.2.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D3.3,UNK,LOW,runs_v2/localai/probes/D3.3.txt,no HTTP status line in transcript
localai,D3.4,UNK,LOW,runs_v2/localai/probes/D3.4.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D4.1,UNK,LOW,runs_v2/localai/probes/D4.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D4.2,UNK,LOW,runs_v2/localai/probes/D4.2.txt,"server served only 0 genuine HTTP responses (200 failed/000) - server down/unhealthy, cannot assess throttling"
localai,D5.1,UNK,LOW,runs_v2/localai/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
localai,D5.2,UNK,LOW,runs_v2/localai/probes/D5.2.txt,no status
localai,D5.3,UNK,LOW,runs_v2/localai/probes/D5.3.txt,no User field found
