framework,item_id,score,confidence,evidence_file,notes
jan,D1.1,UNK,LOW,runs/jan/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
jan,D1.2,UNK,LOW,runs/jan/probes/D1.2.txt,depends on docs language - human-judged at review
jan,D2.1,UNK,LOW,runs/jan/probes/D2.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
jan,D2.2,UNK,LOW,runs/jan/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
jan,D2.3,UNK,LOW,runs/jan/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
jan,D3.1,UNK,LOW,runs/jan/probes/D3.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
jan,D3.2,UNK,LOW,runs/jan/probes/D3.2.txt,no HTTP status line in transcript
jan,D3.3,UNK,LOW,runs/jan/probes/D3.3.txt,no HTTP status line in transcript
jan,D3.4,UNK,LOW,runs/jan/probes/D3.4.txt,no HTTP status line in transcript
jan,D4.1,UNK,LOW,runs/jan/probes/D4.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
jan,D4.2,UNK,LOW,runs/jan/probes/D4.2.txt,"server served only 0 genuine HTTP responses (200 failed/000) - server down/unhealthy, cannot assess throttling"
jan,D5.1,UNK,LOW,runs/jan/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
jan,D5.2,UNK,LOW,runs/jan/probes/D5.2.txt,no status
jan,D5.3,UNK,LOW,runs/jan/probes/D5.3.txt,no User field found
jan,D6.1,UNK,LOW,runs/jan/probes/D6.1.txt,telemetry inspection requires tcpdump + manual analysis - human-judged
jan,D6.2,UNK,LOW,runs/jan/probes/D6.2.txt,log-scan probe produced no clear verdict
jan,D7.1,UNK,LOW,runs/jan/probes/D7.1.txt,subjective doc read - human-judged
jan,D7.2,UNK,LOW,runs/jan/probes/D7.2.txt,derived from D1-D6 + docs after the fact - computed in matrix step
llamacpp,D1.1,UNK,LOW,runs/llamacpp/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
llamacpp,D1.2,UNK,LOW,runs/llamacpp/probes/D1.2.txt,depends on docs language - human-judged at review
llamacpp,D2.1,UNK,LOW,runs/llamacpp/probes/D2.1.txt,transcript missing (probe did not run)
llamacpp,D2.2,UNK,LOW,runs/llamacpp/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
llamacpp,D2.3,UNK,LOW,runs/llamacpp/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
llamacpp,D3.1,UNK,LOW,runs/llamacpp/probes/D3.1.txt,transcript missing (probe did not run)
llamacpp,D3.2,UNK,LOW,runs/llamacpp/probes/D3.2.txt,transcript missing (probe did not run)
llamacpp,D3.3,UNK,LOW,runs/llamacpp/probes/D3.3.txt,transcript missing (probe did not run)
llamacpp,D3.4,UNK,LOW,runs/llamacpp/probes/D3.4.txt,transcript missing (probe did not run)
llamacpp,D4.1,UNK,LOW,runs/llamacpp/probes/D4.1.txt,transcript missing (probe did not run)
llamacpp,D4.2,UNK,LOW,runs/llamacpp/probes/D4.2.txt,transcript missing
llamacpp,D5.1,UNK,LOW,runs/llamacpp/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
llamacpp,D5.2,UNK,LOW,runs/llamacpp/probes/D5.2.txt,transcript missing
llamacpp,D5.3,UNK,LOW,runs/llamacpp/probes/D5.3.txt,no docker inspect transcript
llamacpp,D6.1,UNK,LOW,runs/llamacpp/probes/D6.1.txt,telemetry inspection requires tcpdump + manual analysis - human-judged
llamacpp,D6.2,UNK,LOW,runs/llamacpp/probes/D6.2.txt,no log-dir transcript
llamacpp,D7.1,UNK,LOW,runs/llamacpp/probes/D7.1.txt,subjective doc read - human-judged
llamacpp,D7.2,UNK,LOW,runs/llamacpp/probes/D7.2.txt,derived from D1-D6 + docs after the fact - computed in matrix step
lmstudio,D1.1,UNK,LOW,runs/lmstudio/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
lmstudio,D1.2,UNK,LOW,runs/lmstudio/probes/D1.2.txt,depends on docs language - human-judged at review
lmstudio,D2.1,UNK,LOW,runs/lmstudio/probes/D2.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
lmstudio,D2.2,UNK,LOW,runs/lmstudio/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
lmstudio,D2.3,UNK,LOW,runs/lmstudio/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
lmstudio,D3.1,UNK,LOW,runs/lmstudio/probes/D3.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
lmstudio,D3.2,UNK,LOW,runs/lmstudio/probes/D3.2.txt,no HTTP status line in transcript
lmstudio,D3.3,UNK,LOW,runs/lmstudio/probes/D3.3.txt,no HTTP status line in transcript
lmstudio,D3.4,UNK,LOW,runs/lmstudio/probes/D3.4.txt,no HTTP status line in transcript
lmstudio,D4.1,UNK,LOW,runs/lmstudio/probes/D4.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
lmstudio,D4.2,UNK,LOW,runs/lmstudio/probes/D4.2.txt,"server served only 0 genuine HTTP responses (200 failed/000) - server down/unhealthy, cannot assess throttling"
lmstudio,D5.1,UNK,LOW,runs/lmstudio/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
lmstudio,D5.2,UNK,LOW,runs/lmstudio/probes/D5.2.txt,no status
lmstudio,D5.3,UNK,LOW,runs/lmstudio/probes/D5.3.txt,no User field found
lmstudio,D6.1,UNK,LOW,runs/lmstudio/probes/D6.1.txt,telemetry inspection requires tcpdump + manual analysis - human-judged
lmstudio,D6.2,UNK,LOW,runs/lmstudio/probes/D6.2.txt,"sentinel NOT logged, but seeding inference did not return 2xx (curl exit 7) - logging surface never exercised, cannot assess"
lmstudio,D7.1,UNK,LOW,runs/lmstudio/probes/D7.1.txt,subjective doc read - human-judged
lmstudio,D7.2,UNK,LOW,runs/lmstudio/probes/D7.2.txt,derived from D1-D6 + docs after the fact - computed in matrix step
localai,D1.1,UNK,LOW,runs/localai/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
localai,D1.2,UNK,LOW,runs/localai/probes/D1.2.txt,depends on docs language - human-judged at review
localai,D2.1,UNK,LOW,runs/localai/probes/D2.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D2.2,UNK,LOW,runs/localai/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
localai,D2.3,UNK,LOW,runs/localai/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
localai,D3.1,UNK,LOW,runs/localai/probes/D3.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D3.2,UNK,LOW,runs/localai/probes/D3.2.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D3.3,UNK,LOW,runs/localai/probes/D3.3.txt,no HTTP status line in transcript
localai,D3.4,UNK,LOW,runs/localai/probes/D3.4.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D4.1,UNK,LOW,runs/localai/probes/D4.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
localai,D4.2,UNK,LOW,runs/localai/probes/D4.2.txt,"server served only 0 genuine HTTP responses (200 failed/000) - server down/unhealthy, cannot assess throttling"
localai,D5.1,UNK,LOW,runs/localai/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
localai,D5.2,UNK,LOW,runs/localai/probes/D5.2.txt,no status
localai,D5.3,UNK,LOW,runs/localai/probes/D5.3.txt,no User field found
localai,D6.1,UNK,LOW,runs/localai/probes/D6.1.txt,telemetry inspection requires tcpdump + manual analysis - human-judged
localai,D6.2,UNK,LOW,runs/localai/probes/D6.2.txt,"sentinel NOT logged, but seeding inference did not return 2xx (curl exit 56) - logging surface never exercised, cannot assess"
localai,D7.1,UNK,LOW,runs/localai/probes/D7.1.txt,subjective doc read - human-judged
localai,D7.2,UNK,LOW,runs/localai/probes/D7.2.txt,derived from D1-D6 + docs after the fact - computed in matrix step
ollama,D1.1,UNK,LOW,runs/ollama/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
ollama,D1.2,UNK,LOW,runs/ollama/probes/D1.2.txt,depends on docs language - human-judged at review
ollama,D2.1,UNK,LOW,runs/ollama/probes/D2.1.txt,curl exit 28 (request timed out — possible cold model load; cross-check D4.1)
ollama,D2.2,UNK,LOW,runs/ollama/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
ollama,D2.3,UNK,LOW,runs/ollama/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
ollama,D3.1,INSECURE,HIGH,runs/ollama/probes/D3.1.txt,200 OK without auth header
ollama,D3.2,INSECURE,HIGH,runs/ollama/probes/D3.2.txt,200 OK without auth header
ollama,D3.3,UNK,LOW,runs/ollama/probes/D3.3.txt,no HTTP status line in transcript
ollama,D3.4,N_A,HIGH,runs/ollama/probes/D3.4.txt,404 - endpoint absent in this framework
ollama,D4.1,INSECURE,HIGH,runs/ollama/probes/D4.1.txt,200 OK without auth header
ollama,D4.2,INSECURE,HIGH,runs/ollama/probes/D4.2.txt,0/100 throttled; 100 successful 2xx served unthrottled
ollama,D5.1,UNK,LOW,runs/ollama/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
ollama,D5.2,UNK,LOW,runs/ollama/probes/D5.2.txt,status 405 - inspect manually
ollama,D5.3,INSECURE,HIGH,runs/ollama/probes/D5.3.txt,container runs as root / unset User
ollama,D6.1,UNK,LOW,runs/ollama/probes/D6.1.txt,telemetry inspection requires tcpdump + manual analysis - human-judged
ollama,D6.2,UNK,LOW,runs/ollama/probes/D6.2.txt,"sentinel NOT logged, but seeding inference did not return 2xx (HTTP 404) - logging surface never exercised, cannot assess"
ollama,D7.1,UNK,LOW,runs/ollama/probes/D7.1.txt,subjective doc read - human-judged
ollama,D7.2,UNK,LOW,runs/ollama/probes/D7.2.txt,derived from D1-D6 + docs after the fact - computed in matrix step
sglang,D1.1,UNK,LOW,runs/sglang/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
sglang,D1.2,UNK,LOW,runs/sglang/probes/D1.2.txt,depends on docs language - human-judged at review
sglang,D2.1,UNK,LOW,runs/sglang/probes/D2.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
sglang,D2.2,UNK,LOW,runs/sglang/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
sglang,D2.3,UNK,LOW,runs/sglang/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
sglang,D3.1,UNK,LOW,runs/sglang/probes/D3.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
sglang,D3.2,UNK,LOW,runs/sglang/probes/D3.2.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
sglang,D3.3,UNK,LOW,runs/sglang/probes/D3.3.txt,no HTTP status line in transcript
sglang,D3.4,UNK,LOW,runs/sglang/probes/D3.4.txt,no HTTP status line in transcript
sglang,D4.1,UNK,LOW,runs/sglang/probes/D4.1.txt,curl exit 7 (connection refused/reset — service likely down/unhealthy)
sglang,D4.2,UNK,LOW,runs/sglang/probes/D4.2.txt,"server served only 0 genuine HTTP responses (200 failed/000) - server down/unhealthy, cannot assess throttling"
sglang,D5.1,UNK,LOW,runs/sglang/probes/D5.1.txt,"template/tool-exec exposure: subjective, framework-specific - human-judged"
sglang,D5.2,UNK,LOW,runs/sglang/probes/D5.2.txt,no status
sglang,D5.3,INSECURE,HIGH,runs/sglang/probes/D5.3.txt,container runs as root / unset User
sglang,D6.1,UNK,LOW,runs/sglang/probes/D6.1.txt,telemetry inspection requires tcpdump + manual analysis - human-judged
sglang,D6.2,UNK,LOW,runs/sglang/probes/D6.2.txt,"sentinel NOT logged, but seeding inference did not return 2xx (curl exit 56) - logging surface never exercised, cannot assess"
sglang,D7.1,UNK,LOW,runs/sglang/probes/D7.1.txt,subjective doc read - human-judged
sglang,D7.2,UNK,LOW,runs/sglang/probes/D7.2.txt,derived from D1-D6 + docs after the fact - computed in matrix step
tgi,D1.1,UNK,LOW,runs/tgi/probes/D1.1.txt,bind addr is read from runs/<fw>/config_snapshot/ - manual check
tgi,D1.2,UNK,LOW,runs/tgi/probes/D1.2.txt,depends on docs language - human-judged at review
tgi,D2.1,UNK,LOW,runs/tgi/probes/D2.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
tgi,D2.2,UNK,LOW,runs/tgi/probes/D2.2.txt,doc-derived: does native auth exist? human-judged
tgi,D2.3,UNK,LOW,runs/tgi/probes/D2.3.txt,compare D2.1 vs D3.x results post-hoc
tgi,D3.1,UNK,LOW,runs/tgi/probes/D3.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
tgi,D3.2,UNK,LOW,runs/tgi/probes/D3.2.txt,no HTTP status line in transcript
tgi,D3.3,UNK,LOW,runs/tgi/probes/D3.3.txt,no HTTP status line in transcript
tgi,D3.4,UNK,LOW,runs/tgi/probes/D3.4.txt,no HTTP status line in transcript
tgi,D4.1,UNK,LOW,runs/tgi/probes/D4.1.txt,curl exit 56 (connection refused/reset — service likely down/unhealthy)
tgi,D4.2,UNK,LOW,runs/tgi/probes/D4.2.txt,"server served only 0 genuine HTTP responses (200 failed/000) - server down/unhealthy, cannot assess throttling"
